종류,종목명,종목코드,업종,주요제품,날짜,현재가,시가,종가,등락률,거래량,240일 평균,평균값 근처 도달
KOSPI,DL,000210,기타 금융업,지주회사,2022-10-10,"59,500","59,100","59,600",-0.17%,"33,168",64082,O
KOSPI,DRB동일,004840,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",2022-10-10,"4,295","4,245","4,205",+2.14%,"7,725",5159,-
KOSPI,DSR,155660,1차 비철금속 제조업,합섬섬유로프,2022-10-10,"4,715","4,690","4,690",+0.53%,"12,821",6202,-
KOSPI,GS,078930,기타 금융업,지주회사/부동산 임대,2022-10-10,"44,450","43,300","44,100",+0.79%,"116,148",42525,O
KOSPI,HDC현대산업개발,294870,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2022-10-10,"10,800","10,700","10,850",-0.46%,"98,350",17311,-
KOSPI,KG케미칼,001390,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",2022-10-10,"22,350","22,550","22,200",+0.68%,"64,350",30881,-
KOSPI,KPX케미칼,025000,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",2022-10-10,"49,150","48,200","48,100",+2.18%,"2,389",53097,O
KOSPI,KSS해운,044450,해상 운송업,"특수화물해상운송(액화가스,LPG,암모니아,VCM,석유화학제품 등), 선박대여",2022-10-10,"9,160","9,200","9,200",-0.43%,"34,668",11124,-
KOSPI,KTis,058860,기타 정보 서비스업,"114전화번호안내, 고객센터",2022-10-10,"2,535","2,545","2,540",-0.20%,"37,135",2534,O
KOSPI,LG이노텍,011070,전자부품 제조업,기타 전자부품 제조업,2022-10-10,"295,500","294,500","299,000",-1.17%,"273,309",322075,O
KOSPI,LG헬로비전,037560,텔레비전 방송업,"케이블TV, 인터넷서비스 등",2022-10-10,"4,390","4,425","4,440",-1.13%,"138,412",5779,-
KOSPI,LX하우시스,108670,플라스틱제품 제조업,"창호재, 자동차부품 등",2022-10-10,"33,250","33,950","33,850",-1.77%,"9,774",56182,-
